N,P,K,temperature,humidity,ph,rainfall,label,season,soil type,state
60,43,44,21.01944696,82.95221726,7.416245107,298.4018471,rice,Kharif,loamy,Punjab
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,rice,Kharif,red,Punjab
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,rice,Kharif,clay,Karnataka
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice,Kharif,loamy,Uttar Pradesh
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice,Kharif,red,Tamil Nadu
82,40,40,23.83067496,84.81360127,6.271478838,298.5601175,rice,Kharif,sandy,Karnataka
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice,Kharif,clay,Maharashtra
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice,Kharif,red,Punjab
76,49,42,24.958779,84.47963372,5.206373153,196.9560008,rice,Kharif,loamy,Uttar Pradesh
74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,rice,Kharif,red,Maharashtra
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,rice,Kharif,black,Uttar Pradesh
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,rice,Kharif,black,Punjab
60,36,43,23.43121862,83.06310136,5.286203711,219.9048349,rice,Kharif,loamy,Punjab
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice,Kharif,black,Tamil Nadu
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice,Kharif,red,Maharashtra
65,60,43,21.97199397,81.89918197,5.658169482,227.3637009,rice,Kharif,sandy,Maharashtra
95,52,36,26.22916897,83.83625819,5.543360238,286.5083725,rice,Kharif,sandy,Punjab
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice,Kharif,black,Punjab
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,rice,Kharif,red,Punjab
91,36,45,24.44345477,82.45432595,5.950647577,267.9761948,rice,Kharif,clay,Tamil Nadu
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice,Kharif,black,Uttar Pradesh
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,rice,Kharif,clay,Karnataka
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,rice,Kharif,red,Karnataka
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,rice,Kharif,sandy,Karnataka
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,rice,Kharif,sandy,Tamil Nadu
70,36,42,21.84106875,80.72886384,6.946209881,202.3838319,rice,Kharif,sandy,Karnataka
76,47,42,20.08369642,83.29114712,5.739175027,263.6372176,rice,Kharif,red,Tamil Nadu
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice,Kharif,black,Tamil Nadu
99,54,37,21.14347496,80.33502926,5.594819626,198.6730942,rice,Kharif,loamy,Uttar Pradesh
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,rice,Kharif,sandy,Tamil Nadu
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,rice,Kharif,clay,Punjab
91,56,37,23.43191632,80.56887849,6.363472208,269.5039162,rice,Kharif,clay,Uttar Pradesh
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,rice,Kharif,black,Karnataka
67,45,38,22.72791041,82.1706881,7.300410836,260.8875056,rice,Kharif,sandy,Karnataka
79,42,37,24.87300744,82.84022551,6.587918708,295.6094492,rice,Kharif,clay,Maharashtra
78,43,42,21.32376327,83.00320459,7.283736617,192.3197536,rice,Kharif,clay,Tamil Nadu
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,rice,Kharif,sandy,Tamil Nadu
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,rice,Kharif,loamy,Punjab
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,rice,Kharif,loamy,Karnataka
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,rice,Kharif,loamy,Tamil Nadu
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,rice,Kharif,red,Karnataka
81,41,38,22.67846116,83.72874389,7.524080076,200.9133156,rice,Kharif,black,Uttar Pradesh
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice,Kharif,sandy,Tamil Nadu
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,rice,Kharif,red,Tamil Nadu
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,rice,Kharif,red,Maharashtra
67,43,39,26.04371967,84.96907151,5.999969026,186.7536773,rice,Kharif,clay,Tamil Nadu
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,rice,Kharif,sandy,Maharashtra
66,60,38,22.08576562,83.47038318,6.372576327,231.7364957,rice,Kharif,clay,Tamil Nadu
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,rice,Kharif,black,Punjab
84,50,44,25.48591986,81.40633547,5.935344406,182.6549356,rice,Kharif,black,Punjab
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,rice,Kharif,black,Tamil Nadu
91,50,40,20.82477109,84.1341879,6.462391607,230.2242223,rice,Kharif,sandy,Tamil Nadu
93,53,38,26.92995077,81.91411159,7.069172227,290.6793783,rice,Kharif,loamy,Maharashtra
90,44,38,23.83509503,83.88387074,7.473134377,241.2013513,rice,Kharif,black,Maharashtra
81,45,35,26.52872817,80.12267476,6.158376967,218.9163567,rice,Kharif,loamy,Tamil Nadu
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,rice,Kharif,sandy,Punjab
60,51,36,22.69657794,82.81088865,6.028321558,256.9964761,rice,Kharif,clay,Tamil Nadu
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,rice,Kharif,sandy,Karnataka
93,47,37,21.53346343,82.14004101,6.500343222,295.9248796,rice,Kharif,black,Maharashtra
60,55,45,21.40865769,83.3293191,5.935745417,287.5766935,rice,Kharif,black,Tamil Nadu
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,rice,Kharif,red,Maharashtra
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,rice,Kharif,sandy,Karnataka
71,54,16,22.61359953,63.69070564,5.749914421,87.75953857,maize,Kharif,black,Karnataka
61,44,17,26.10018422,71.57476937,6.931756558,102.2662445,maize,Kharif,loamy,Karnataka
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,maize,Kharif,black,Karnataka
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,maize,Kharif,clay,Karnataka
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,maize,Kharif,black,Tamil Nadu
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,maize,Kharif,sandy,Tamil Nadu
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,maize,Kharif,red,Maharashtra
89,60,19,25.19192419,66.6902901,5.913664501,78.06639649,maize,Kharif,red,Punjab
76,44,17,20.41683147,62.5542482,5.855442401,65.27798457,maize,Kharif,clay,Uttar Pradesh
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,maize,Kharif,clay,Tamil Nadu
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,maize,Kharif,loamy,Karnataka
90,49,21,24.84016732,68.3584573,6.472523287,74.05474936,maize,Kharif,red,Uttar Pradesh
62,52,16,22.27526694,58.84015925,6.967057762,63.87020584,maize,Kharif,clay,Tamil Nadu
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,maize,Kharif,sandy,Karnataka
66,54,21,25.19008683,60.2001687,5.919045532,72.12375573,maize,Kharif,red,Punjab
63,58,22,18.25405352,55.28220433,6.204747653,63.72358154,maize,Kharif,red,Tamil Nadu
70,47,17,24.6129118,70.4162444,6.600827017,104.1626147,maize,Kharif,clay,Punjab
61,41,17,25.1420613,65.26185135,6.021902237,76.68456006,maize,Kharif,black,Uttar Pradesh
66,53,19,23.09348056,60.1159381,6.033550195,65.49730729,maize,Kharif,red,Tamil Nadu
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,maize,Kharif,black,Uttar Pradesh
77,57,21,24.9321581,73.80435276,6.550563823,79.74078719,maize,Kharif,clay,Karnataka
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,maize,Kharif,sandy,Karnataka
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,maize,Kharif,clay,Karnataka
83,45,21,18.83344471,58.75082029,5.716222912,79.7532896,maize,Kharif,clay,Uttar Pradesh
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,maize,Kharif,loamy,Tamil Nadu
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,maize,Kharif,sandy,Uttar Pradesh
94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,maize,Kharif,sandy,Tamil Nadu
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,maize,Kharif,loamy,Punjab
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,maize,Kharif,loamy,Tamil Nadu
87,54,20,25.61707368,63.4711755,6.576418207,108.8303762,maize,Kharif,black,Tamil Nadu
87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,maize,Kharif,red,Punjab
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,maize,Kharif,loamy,Karnataka
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,maize,Kharif,red,Punjab
64,35,23,23.02038334,61.89472002,5.680361038,63.03843397,maize,Kharif,loamy,Maharashtra
60,46,22,24.89364635,65.61418761,6.625404348,87.9298085,maize,Kharif,clay,Karnataka
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,maize,Kharif,red,Karnataka
75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,maize,Kharif,black,Maharashtra
86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,maize,Kharif,clay,Karnataka
98,35,18,23.79746068,74.82913698,6.252797548,91.76337172,maize,Kharif,clay,Karnataka
76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,maize,Kharif,black,Tamil Nadu
99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,maize,Kharif,sandy,Uttar Pradesh
60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,maize,Kharif,red,Karnataka
74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,maize,Kharif,sandy,Uttar Pradesh
89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,maize,Kharif,black,Tamil Nadu
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,maize,Kharif,sandy,Maharashtra
96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,maize,Kharif,clay,Punjab
61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,maize,Kharif,red,Tamil Nadu
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,maize,Kharif,clay,Maharashtra
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,maize,Kharif,black,Tamil Nadu
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,maize,Kharif,loamy,Maharashtra
99,36,20,20.57981887,65.34583901,6.671085817,78.34604471,maize,Kharif,red,Karnataka
77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,maize,Kharif,sandy,Tamil Nadu
87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,maize,Kharif,clay,Tamil Nadu
60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,maize,Kharif,sandy,Karnataka
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,maize,Kharif,clay,Tamil Nadu
95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,maize,Kharif,black,Karnataka
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,maize,Kharif,black,Uttar Pradesh
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,maize,Kharif,red,Karnataka
66,44,20,19.0781471,69.02298571,6.740000688,80.72515943,maize,Kharif,clay,Uttar Pradesh
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,maize,Kharif,loamy,Maharashtra
79,45,20,23.80546189,59.24537979,5.715208817,89.9622014,maize,Kharif,black,Karnataka
72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,maize,Kharif,loamy,Maharashtra
67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,maize,Kharif,sandy,Maharashtra
86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,maize,Kharif,clay,Karnataka
76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,maize,Kharif,clay,Tamil Nadu
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,maize,Kharif,loamy,Tamil Nadu
81,45,23,19.32666088,68.034493,6.192360003,84.22969177,maize,Kharif,red,Tamil Nadu
73,45,21,24.60532218,73.58868502,6.636803223,96.59195302,maize,Kharif,red,Uttar Pradesh
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,maize,Kharif,sandy,Uttar Pradesh
96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,maize,Kharif,black,Maharashtra
99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,maize,Kharif,clay,Karnataka
62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,maize,Kharif,black,Uttar Pradesh
86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,maize,Kharif,clay,Uttar Pradesh
94,50,19,23.30355338,73.62548442,5.873242491,97.59081274,maize,Kharif,clay,Tamil Nadu
76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,maize,Kharif,sandy,Uttar Pradesh
77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,maize,Kharif,red,Punjab
74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,maize,Kharif,black,Karnataka
81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,maize,Kharif,black,Karnataka
63,42,21,23.26237612,72.33125523,5.798423908,67.10225139,maize,Kharif,clay,Tamil Nadu
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,maize,Kharif,sandy,Maharashtra
90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,maize,Kharif,red,Punjab
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,maize,Kharif,sandy,Punjab
60,57,24,18.66116213,61.55327249,6.121294041,75.03247667,maize,Kharif,red,Karnataka
71,52,18,25.10787449,55.97732754,5.790770203,78.16077693,maize,Kharif,sandy,Karnataka
61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,maize,Kharif,clay,Uttar Pradesh
88,38,15,25.08239719,65.92195844,6.455116637,62.49190812,maize,Kharif,sandy,Uttar Pradesh
65,60,22,25.36768364,72.52054555,6.606984086,107.9124111,maize,Kharif,loamy,Maharashtra
78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,maize,Kharif,sandy,Tamil Nadu
78,58,15,25.00933355,67.816568,6.528631266,62.91359494,maize,Kharif,black,Punjab
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,maize,Kharif,red,Uttar Pradesh
79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,maize,Kharif,sandy,Punjab
91,55,15,18.09300227,72.61024172,6.376651091,78.96159541,maize,Kharif,sandy,Punjab
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,maize,Kharif,sandy,Punjab
87,48,25,18.65396672,61.37879671,6.656730008,93.62039175,maize,Kharif,clay,Maharashtra
71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,maize,Kharif,red,Maharashtra
90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,maize,Kharif,sandy,Tamil Nadu
67,35,22,23.30546753,63.24648023,6.385684214,108.7603001,maize,Kharif,red,Karnataka
60,54,19,18.74826712,62.49878458,6.417820493,70.23401597,maize,Kharif,red,Tamil Nadu
83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,maize,Kharif,black,Maharashtra
83,57,19,25.73044432,70.74739256,6.877869005,98.73771338,maize,Kharif,loamy,Uttar Pradesh
40,72,77,17.02498456,16.98861173,7.485996067,88.55123143,chickpea,Rabi,loamy,Tamil Nadu
23,72,84,19.02061277,17.13159126,6.920251378,79.92698081,chickpea,Rabi,sandy,Punjab
39,58,85,17.88776475,15.40589717,5.996932037,68.54932919,chickpea,Rabi,sandy,Karnataka
22,72,85,18.86805647,15.65809214,6.391173589,88.51048983,chickpea,Rabi,sandy,Uttar Pradesh
36,67,77,18.36952567,19.56381041,7.152811172,79.26357665,chickpea,Rabi,red,Tamil Nadu
32,73,81,20.45078582,15.40312102,5.988992796,92.68373702,chickpea,Rabi,red,Punjab
58,70,84,20.6543203,16.60820843,6.231049028,74.6631118,chickpea,Rabi,loamy,Maharashtra
59,70,84,17.3348681,18.74926979,7.550808267,82.61734721,chickpea,Rabi,red,Uttar Pradesh
42,62,75,18.17912258,18.90426935,7.010570541,81.84997529,chickpea,Rabi,black,Punjab
28,74,81,18.01272266,18.30968112,8.753795334,81.98568791,chickpea,Rabi,red,Maharashtra
58,66,79,20.99373558,19.33470387,8.718192847,93.55280105,chickpea,Rabi,black,Uttar Pradesh
43,66,79,19.46233971,15.22538951,7.976607593,74.58565097,chickpea,Rabi,red,Uttar Pradesh
58,63,81,19.81344531,14.69765308,6.515499549,78.96514709,chickpea,Rabi,red,Uttar Pradesh
23,62,85,18.97424756,19.5161216,8.490127142,80.7108745,chickpea,Rabi,clay,Maharashtra
27,62,77,18.19737048,14.71070537,6.576415562,70.18185181,chickpea,Rabi,black,Uttar Pradesh
28,72,84,18.72963144,19.18197264,6.481783043,71.58010169,chickpea,Rabi,sandy,Uttar Pradesh
50,56,76,20.99502153,19.8601304,7.966605025,73.50734019,chickpea,Rabi,sandy,Punjab
39,71,84,20.28155898,16.39535215,8.140825437,82.52339655,chickpea,Rabi,black,Tamil Nadu
25,78,76,17.48042641,15.7559405,7.228963452,66.96980581,chickpea,Rabi,sandy,Karnataka
31,70,77,20.88818675,14.32313811,6.492546046,90.46228334,chickpea,Rabi,black,Karnataka
26,80,83,17.08498521,16.14565756,7.528599957,71.31007253,chickpea,Rabi,clay,Uttar Pradesh
25,68,77,20.09340593,15.11279612,7.701446446,85.74904898,chickpea,Rabi,red,Maharashtra
31,78,76,17.57212145,14.99927489,8.519975748,89.31050665,chickpea,Rabi,black,Uttar Pradesh
60,68,83,19.12065218,18.43475844,6.620900869,85.52950164,chickpea,Rabi,red,Maharashtra
59,62,83,18.57665902,19.22008229,8.104396058,72.94940441,chickpea,Rabi,sandy,Maharashtra
22,67,78,17.16606398,14.42457525,6.204090835,72.32667516,chickpea,Rabi,black,Uttar Pradesh
36,65,80,18.2872007,16.67921616,6.051091339,74.87445574,chickpea,Rabi,sandy,Uttar Pradesh
59,60,84,19.03025305,18.66725565,7.690962338,94.70992037,chickpea,Rabi,clay,Uttar Pradesh
54,77,85,17.1418614,17.0662427,7.829211144,83.74606679,chickpea,Rabi,loamy,Punjab
43,68,81,17.47809436,17.93253975,6.761599706,78.92060234,chickpea,Rabi,black,Punjab
28,76,82,20.56601874,14.25803981,6.654425315,83.75937135,chickpea,Rabi,loamy,Uttar Pradesh
42,79,85,17.22385224,15.82069268,6.129533877,76.57580954,chickpea,Rabi,sandy,Karnataka
32,60,83,19.69141713,19.44225438,8.829273328,91.76071648,chickpea,Rabi,black,Uttar Pradesh
22,78,76,17.84851658,19.09172907,8.621662982,76.32470713,chickpea,Rabi,sandy,Karnataka
31,79,75,18.8202251,16.1074793,8.204862075,89.73119396,chickpea,Rabi,black,Uttar Pradesh
28,58,81,17.47500984,16.54314829,6.18042747,93.35034262,chickpea,Rabi,black,Maharashtra
57,58,77,18.72649425,17.58406365,7.978996755,81.20176515,chickpea,Rabi,sandy,Punjab
49,55,78,18.65580107,16.17772668,7.863113671,81.70769297,chickpea,Rabi,black,Karnataka
46,76,77,18.2356751,19.68538502,6.967843048,83.74879344,chickpea,Rabi,loamy,Maharashtra
54,61,77,18.81198127,15.21618225,6.206582193,77.5429424,chickpea,Rabi,clay,Karnataka
38,60,76,18.65054116,17.80852431,8.868741443,77.92798682,chickpea,Rabi,black,Uttar Pradesh
59,55,79,20.36720401,16.89574311,8.766128654,82.2545577,chickpea,Rabi,loamy,Maharashtra
36,76,75,18.38120357,16.63805158,8.736337905,70.52056697,chickpea,Rabi,red,Karnataka
57,68,81,17.17012591,17.30457712,8.081095263,72.78624223,chickpea,Rabi,clay,Karnataka
35,66,81,19.37101121,15.77458129,6.138243973,85.24819851,chickpea,Rabi,clay,Punjab
35,64,78,17.92845928,14.27327988,7.496645259,85.37378769,chickpea,Rabi,clay,Uttar Pradesh
52,60,79,19.45339934,18.23490739,8.380185271,75.6317566,chickpea,Rabi,red,Uttar Pradesh
27,76,83,19.12829388,14.92241479,6.289614016,89.61857826,chickpea,Rabi,black,Karnataka
57,60,84,19.1034283,17.26184541,6.586777189,75.49101167,chickpea,Rabi,red,Maharashtra
52,68,78,17.48504075,16.96070581,6.89655198,86.05078037,chickpea,Rabi,black,Punjab
43,79,79,19.40751744,18.98030507,7.806747656,80.25064637,chickpea,Rabi,sandy,Tamil Nadu
44,74,85,20.18649426,19.63719995,7.150681303,78.26039559,chickpea,Rabi,sandy,Maharashtra
24,55,78,17.30287885,15.15405941,6.64919573,75.57790384,chickpea,Rabi,loamy,Tamil Nadu
29,77,75,17.50361137,15.48083156,7.778591618,72.9446671,chickpea,Rabi,loamy,Punjab
20,60,78,18.17234999,14.70085967,6.358740355,90.7760707,chickpea,Rabi,black,Punjab
56,67,78,17.57445618,16.71826572,8.255450758,77.81891424,chickpea,Rabi,clay,Uttar Pradesh
37,66,85,20.93175255,18.91295403,6.456148474,78.06910795,chickpea,Rabi,sandy,Karnataka
49,71,76,19.71098332,17.63879418,6.613072145,85.57925437,chickpea,Rabi,loamy,Tamil Nadu
59,69,80,19.07937684,17.86754927,8.165359297,69.40619137,chickpea,Rabi,clay,Karnataka
20,79,77,18.54988627,16.02542689,7.64867466,76.32565249,chickpea,Rabi,clay,Punjab
24,56,85,18.19903647,17.41333199,6.545888558,80.6405403,chickpea,Rabi,loamy,Punjab
51,72,75,18.88852533,14.99451145,7.104224797,80.1113384,chickpea,Rabi,clay,Uttar Pradesh
57,73,85,18.49311205,14.72115044,7.358099622,91.94595352,chickpea,Rabi,sandy,Punjab
22,64,82,19.48974337,17.17260319,6.4740245,87.51312796,chickpea,Rabi,sandy,Maharashtra
52,73,79,17.25769499,18.74943955,7.840339389,94.00287214,chickpea,Rabi,clay,Tamil Nadu
29,75,75,19.62416326,18.71483156,7.064790365,88.4585692,chickpea,Rabi,loamy,Punjab
44,59,78,20.67526473,19.85388984,7.599033472,84.78344008,chickpea,Rabi,black,Punjab
41,69,82,20.02381489,16.63294455,6.715587232,68.97806542,chickpea,Rabi,black,Punjab
52,56,85,20.1187446,14.44228303,6.81712422,88.68168643,chickpea,Rabi,sandy,Tamil Nadu
34,76,80,20.65691793,15.84572566,7.985417393,65.23811143,chickpea,Rabi,sandy,Punjab
42,74,83,19.2582557,14.2804191,7.545258424,65.78042032,chickpea,Rabi,loamy,Tamil Nadu
34,71,79,17.927806,15.85622899,7.728998197,74.63872762,chickpea,Rabi,sandy,Karnataka
27,73,79,19.16288268,15.83500655,7.354973451,82.69766829,chickpea,Rabi,sandy,Punjab
30,70,79,20.26942271,19.96978871,7.313122235,69.64449182,chickpea,Rabi,loamy,Uttar Pradesh
57,57,75,17.09104223,18.25142068,7.785039076,87.27444866,chickpea,Rabi,clay,Punjab
27,79,82,17.06579293,17.54024066,6.307004923,70.87150577,chickpea,Rabi,clay,Karnataka
32,71,85,20.62767492,14.44008871,6.403982316,92.06630306,chickpea,Rabi,black,Uttar Pradesh
31,76,82,20.8248451,17.85057083,7.599279991,79.20509212,chickpea,Rabi,red,Karnataka
33,75,84,19.46210401,18.72831993,7.217018459,68.81405149,chickpea,Rabi,loamy,Maharashtra
47,80,77,17.18248372,16.42891834,7.561108006,72.85017344,chickpea,Rabi,red,Uttar Pradesh
54,62,80,17.48911699,16.39055394,7.489545074,79.45758333,chickpea,Rabi,clay,Punjab
47,79,78,17.48395377,14.76014523,6.609696734,65.11365631,chickpea,Rabi,clay,Tamil Nadu
35,57,83,19.48316794,17.44534641,7.476800943,80.4986291,chickpea,Rabi,loamy,Uttar Pradesh
53,73,77,19.71359733,18.09665739,7.325451279,73.64476535,chickpea,Rabi,red,Punjab
